27 31
52 37
100 50
79 18 1
37 40 1
30 3 1
5 42 1
36 0 1
57 4 1
61 14 1
28 34 0
54 8 1
54 44 1
4 2 0
74 27 1
15 20 1
34 23 1
91 11 1
22 13 1
80 27 0
62 23 1
0 5 1
25 47 0
24 17 0
2 5 0
23 31 0
76 6 0
19 26 0
2 33 0
30 42 0
100 1 1
94 23 1
27 16 1
97 37 0
18 10 1
29 23 1
12 23 1
45 13 0
35 37 0
28 14 0
22 13 1
71 24 1
10 46 1
61 3 0
28 26 0
43 36 1
0 1 1
12 39 0
11 42 1
22 8 0
86 12 0
57 26 0
97 21 1
27 11 1
93 12 1
61 48 1
27 37 0
40 46 0
65 22 1
13 9 1
36 6 1
52 19 0
0 18 0
91 0 0
11 44 1
1 48 0
48 10 1
6 26 1
14 40 1
60 28 1
77 29 0
23 16 0
54 31 0
64 4 1
20 5 1
81 37 0
88 34 0
13 45 1
88 50 0
74 16 1
67 49 1
54 17 1
28 16 1
100 34 0
89 7 0
91 7 1
76 39 0
57 48 0
72 47 1
56 25 0
9 33 0
80 3 1
48 5 0
43 35 0
15 39 0
30 16 0
66 49 1
14 25 1
7 45 0
7 6 0
85 0 1
3 2 0
37 23 1
36 35 1
11 2 0
13 22 0
87 21 0
14 50 0
36 49 0
31 7 1
93 35 1
2 25 0
47 50 1
73 17 1
21 46 1
70 33 0
95 17 0
82 15 1
28 49 0
68 12 0
32 33 0
35 30 0
61 2 0
97 30 0
78 18 1
97 48 0
38 50 1
47 39 0
57 22 1
21 25 1
76 41 1
82 40 0
18 42 0
54 6 1
83 25 0
27 44 0
100 18 0
85 6 0
82 43 1
34 43 0
41 16 1
98 14 1
12 5 0
8 13 0
2 37 0
88 27 1
32 45 1
86 32 1
95 23 0
5 14 1
99 43 1
21 21 0
32 41 1
80 9 1
36 26 0
32 49 1
58 42 1
39 33 1
82 6 0
74 4 0
74 18 0
66 3 1
6 49 1
95 36 0
40 17 1
28 12 1
23 0 1
9 50 0
8 36 1
74 32 1
42 47 0
7 8 1
41 40 1
18 48 1
46 20 0
6 6 1
47 35 1
54 19 1
17 5 0
92 38 0
49 22 0
73 32 1
64 47 1
34 1 1
28 18 1
93 38 0
18 11 0
41 43 0
47 32 1
81 4 0
85 28 1
98 12 1
71 20 0
14 27 1
76 32 0
25 39 1
95 23 1
16 23 1
100 14 1
100 32 1
21 20 1
94 31 0
55 30 0
40 15 0
76 1 1
68 19 0
70 50 1
17 30 1
57 10 0
38 44 1
18 26 1
21 27 1
67 43 1
68 19 0
66 43 1
92 43 1
45 29 1
50 6 0
87 12 0
50 15 1
23 20 1
88 12 0
81 49 0
56 47 0
81 14 1
29 20 0
82 10 0
5 26 1
50 11 1
46 5 0
18 10 0
6 6 0
0 1 0
91 37 0
8 42 1
82 11 1
92 0 1
93 32 0
74 11 1
75 16 0
51 19 1
41 45 1
57 19 0
82 7 0
96 26 1
29 14 0
90 10 1
28 25 1
41 26 0
52 4 1
13 38 1
41 2 0
56 31 1
36 12 1
0 2 0
76 25 0
49 1 0
98 13 1
17 17 1
38 30 0
66 44 0
29 6 0
77 35 1
24 41 1
52 14 1
10 1 0
26 31 1
92 30 1
90 35 1
16 18 1
88 32 0
67 15 1
41 13 0
53 50 1
