N,H,H,T,N,N,T,N,N,H,N,T,T,T,T,B,T,T,N,N,N,H,T,N,N,N,H,H,H,N,B,N,N,N,B,B,H,T,H,N,B,T,T,N,N,B,T,T,N,T,H,N,N,H,N,N,N,N,N,H,T,T,N,T,T,B,T,T,N,N,T,H,T,N,T,N,H,N,N,N,B,N,T,N,N,H,T,B,N,N,N,N,N,H,N,T,T,B,N,N
B,N,T,B,N,H,N,T,N,T,N,N,H,T,H,N,N,T,N,N,N,N,N,N,H,N,B,N,N,H,B,H,H,N,H,N,N,H,T,T,T,N,T,N,T,N,T,B,N,T,H,N,T,H,H,N,H,N,T,N,B,H,N,T,T,T,T,N,N,H,H,T,T,T,T,N,T,N,N,B,N,B,B,T,N,N,N,N,H,N,T,B,T,N,T,H,H,N,B,N
T,N,T,N,H,H,B,H,T,N,T,N,N,N,N,N,B,N,B,N,N,T,T,N,T,H,N,N,B,N,T,N,H,N,H,N,N,N,T,N,N,H,T,T,T,N,B,T,T,T,H,T,N,B,T,N,N,B,N,H,N,N,H,T,H,B,T,N,B,H,T,N,T,H,B,N,H,N,T,T,T,H,N,H,N,T,N,N,H,H,N,N,N,H,B,H,T,N,N,N
N,T,N,N,B,T,N,H,H,N,N,T,H,N,H,N,T,N,N,H,N,N,N,H,N,B,N,N,N,N,H,N,N,N,T,H,T,N,H,T,N,T,N,B,N,N,N,T,H,H,B,T,N,H,T,B,N,N,T,N,H,T,N,H,T,T,N,N,N,T,N,N,N,B,N,H,T,N,H,N,N,N,H,H,T,N,T,T,H,H,N,T,N,N,B,H,N,T,T,N
N,T,H,N,H,N,T,T,T,T,N,H,H,N,N,B,N,N,T,N,N,N,N,B,N,B,H,B,B,N,N,T,H,N,B,H,N,N,N,N,T,N,B,B,N,N,N,N,H,B,N,B,N,N,T,N,N,B,H,T,N,N,T,N,H,N,N,N,N,H,N,N,T,N,N,N,N,B,N,T,H,N,N,N,N,T,N,N,B,N,N,N,T,N,B,N,N,H,N,H
H,T,N,N,B,N,N,T,N,B,B,N,T,N,N,N,T,H,H,T,H,N,N,N,N,B,N,H,N,T,N,N,N,N,H,N,T,T,N,N,N,N,H,T,T,T,N,N,N,N,B,N,N,N,H,N,T,H,H,N,N,T,N,N,H,N,T,N,T,N,B,N,N,N,N,N,N,N,N,H,N,H,N,B,N,N,T,H,B,T,N,N,H,H,H,H,N,N,N,B
H,N,N,N,B,H,H,T,B,N,H,N,N,N,N,N,H,T,N,N,N,N,B,N,N,T,H,N,T,B,N,B,T,H,N,H,T,N,N,T,N,N,N,H,T,N,B,T,H,T,B,T,N,N,N,N,T,N,H,B,N,N,T,H,T,N,N,B,H,T,T,B,T,H,N,H,H,N,H,N,T,H,N,T,N,N,N,N,T,T,H,N,H,N,N,H,N,T,N,N
T,T,H,N,T,H,T,N,N,H,N,N,N,N,N,H,B,N,T,T,N,N,T,N,B,T,N,T,T,H,N,N,H,N,T,N,T,N,T,N,N,B,N,H,N,T,T,H,N,N,N,H,N,B,N,N,T,B,B,B,N,H,N,T,N,H,T,T,N,T,N,N,T,N,H,B,N,H,N,H,T,T,N,N,T,T,N,T,T,N,T,N,T,H,N,T,N,H,T,H
T,N,N,N,B,N,N,B,N,B,B,N,B,N,N,T,N,N,H,N,N,N,N,H,T,H,N,H,N,H,H,N,B,N,N,N,T,T,N,N,B,N,B,B,N,N,N,H,H,H,N,H,N,B,H,H,H,B,T,T,N,T,N,H,N,N,N,H,T,N,N,T,N,B,N,H,N,B,B,N,H,H,T,N,H,H,N,T,N,H,N,H,N,H,B,H,N,H,B,N
B,N,T,H,H,N,T,N,H,H,N,N,N,T,H,H,H,N,B,N,N,T,N,T,T,N,N,T,H,H,H,N,H,N,N,N,N,B,T,N,N,T,T,H,N,B,H,N,H,H,H,T,T,B,N,B,N,N,N,N,T,N,N,N,N,N,N,N,N,B,H,N,H,N,T,N,B,B,N,N,N,T,N,N,N,N,T,T,N,H,N,N,N,N,N,H,N,N,H,N
